,NEname,SIG.ConflictPPS,SIG.ConflictPkg,SIG.RecvErrPPS,SIG.RecvErrPkg,SIG.RecvKB,SIG.RecvKBPS,SIG.RecvLoss,SIG.RecvLossPPS,SIG.RecvPPS,SIG.RecvPkg,SIG.SendErrPkg,SIG.SendKB,SIG.SendKBPS,SIG.SendLoss,SIG.SendLossPPS,SIG.SendPPS,SIG.SendPkg,SIG.SenderrPPS,dateTime
84,CQISBG7BZX_3-9_SIP1,0.00000,0,0.00000,0,2644338,2938.15294,0,0.00000,3424740.00000,3082266000,0,3147226,3496.91830,0,0.00000,3218256.66667,2896431000,0.00000,20210426001500
85,CQISBG9BZX_3-9_SIP1,0.00000,0,0.00000,0,2677547,2975.05201,0,0.00000,3461195.55556,3115076000,0,3062759,3403.06577,0,0.00000,3130163.33333,2817147000,0.00000,20210426001500
86,CQISBG9BZX_4-10_DRA,0.00000,0,0.00000,0,634,0.70438,0,0.00000,11270.00000,10143000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
87,CQISBG9BZX_3-13_SIP4,0.00000,0,0.00000,0,1776124,1973.47106,0,0.00000,1862947.77778,1676653000,0,1934049,2148.94359,0,0.00000,2524578.88889,2272121000,0.00000,20210426001500
88,CQISBG6BZX_3-9_SIP1,0.00000,0,0.00000,0,58,0.06451,0,0.00000,1032.22222,929000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
89,CQISBG9BZX_4-9_DRA,0.00000,0,0.00000,0,542638,602.93126,0,0.00000,1686793.33333,1518114000,0,669230,743.58903,0,0.00000,1368335.55556,1231502000,0.00000,20210426001500
90,CQISBG9BZX_3-12_SIP3,0.00000,0,0.00000,0,32173,35.74772,0,0.00000,52850.00000,47565000,0,1335948,1484.38679,0,0.00000,1363358.88889,1227023000,0.00000,20210426001500
91,CQISBG9BZX_3-14_SIP3,0.00000,0,0.00000,0,634,0.70403,0,0.00000,11264.44444,10138000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
92,CQISBG6BZX_3-10_SIP1,0.00000,0,0.00000,0,2528145,2809.04985,0,0.00000,3285310.00000,2956779000,0,2802563,3113.95888,0,0.00000,2900271.11111,2610244000,0.00000,20210426001500
93,CQISBG5BZX_4-9_DRA,0.00000,0,0.00000,0,58,0.06458,0,0.00000,1033.33333,930000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
94,CQISBG6BZX_4-10_DRA,0.00000,0,0.00000,0,493016,547.79556,0,0.00000,1504296.66667,1353867000,0,598800,665.33286,0,0.00000,1233496.66667,1110147000,0.00000,20210426001500
95,CQISBG9BZX_3-6_SIP2,0.00000,0,0.00000,0,634,0.70458,0,0.00000,11273.33333,10146000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
96,CQISBG5BZX_3-9_SIP1,0.00000,0,0.00000,0,58,0.06424,0,0.00000,1027.77778,925000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
97,CQISBG8BZX_3-12_SIP3,0.00000,0,0.00000,0,633,0.70326,0,0.00000,11252.22222,10127000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
98,CQISBG9BZX_3-5_SIP2,0.00000,0,0.00000,0,738075,820.08289,0,0.00000,1000752.22222,900677000,0,2212814,2458.68273,0,0.00000,2200475.55556,1980428000,0.00000,20210426001500
99,CQISBG8BZX_3-14_SIP3,0.00000,0,0.00000,0,30982,34.42493,0,0.00000,51151.11111,46036000,0,1331476,1479.41772,0,0.00000,1358185.55556,1222367000,0.00000,20210426001500
100,CQISBG5BZX_3-5_SIP2,0.00000,0,0.00000,0,641603,712.89265,0,0.00000,871865.55556,784679000,0,2022905,2247.67223,0,0.00000,2008793.33333,1807914000,0.00000,20210426003000
101,CQISBG5BZX_3-6_SIP2,0.00000,0,0.00000,0,58,0.06444,0,0.00000,1031.11111,928000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
102,CQISBG7BZX_4-9_DRA,0.00000,0,0.00000,0,530434,589.37149,0,0.00000,1651456.66667,1486311000,0,654861,727.62321,0,0.00000,1341166.66667,1207050000,0.00000,20210426003000
103,CQISBG7BZX_4-10_DRA,0.00000,0,0.00000,0,563,0.62514,0,0.00000,10002.22222,9002000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
104,CQISBG7BZX_3-10_SIP1,0.00000,0,0.00000,0,563,0.62521,0,0.00000,10003.33333,9003000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
105,CQISBG8BZX_3-9_SIP1,0.00000,0,0.00000,0,634,0.70479,0,0.00000,11276.66667,10149000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
106,CQISBG8BZX_3-10_SIP1,0.00000,0,0.00667,6,2548902,2832.11316,0,0.00000,3308902.22222,2978012000,0,2890850,3212.05579,0,0.00000,2950468.88889,2655422000,0.00000,20210426003000
107,CQISBG7BZX_3-12_SIP3,0.00000,0,0.00000,0,563,0.62542,0,0.00000,10006.66667,9006000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
108,CQISBG7BZX_3-14_SIP3,0.00000,0,0.00000,0,26702,29.66883,0,0.00000,45185.55556,40667000,0,1205929,1339.92142,0,0.00000,1231070.00000,1107963000,0.00000,20210426003000
109,CQISBG5BZX_3-14_SIP3,0.00000,0,0.00000,0,58,0.06486,0,0.00000,1037.77778,934000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
110,CQISBG5BZX_3-12_SIP3,0.00000,0,0.00000,0,25097,27.88575,0,0.00000,34920.00000,31428000,0,1250861,1389.84598,0,0.00000,1276181.11111,1148563000,0.00000,20210426003000
111,CQISBG8BZX_4-9_DRA,0.00000,0,0.00000,0,635,0.70528,0,0.00000,11284.44444,10156000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
112,CQISBG5BZX_4-10_DRA,0.00000,0,0.00000,0,511757,568.61844,0,0.00000,1581685.55556,1423517000,0,631059,701.17624,0,0.00000,1294686.66667,1165218000,0.00000,20210426003000
113,CQISBG8BZX_3-13_SIP4,0.00000,0,0.00000,0,634,0.70458,0,0.00000,11273.33333,10146000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
114,CQISBG8BZX_3-11_SIP4,0.00000,0,0.00000,0,1761230,1956.92199,0,0.00000,1840605.55556,1656545000,0,1931629,2146.25442,0,0.00000,2525308.88889,2272778000,0.00000,20210426003000
115,CQISBG6BZX_3-6_SIP2,0.00000,0,0.00000,0,58,0.06486,0,0.00000,1037.77778,934000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
116,CQISBG8BZX_3-6_SIP2,0.00000,0,0.00000,0,634,0.70451,0,0.00000,11272.22222,10145000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
117,CQISBG8BZX_3-5_SIP2,0.00000,0,0.00000,0,651093,723.43615,0,0.00000,894941.11111,805447000,0,2063021,2292.24532,0,0.00000,2044091.11111,1839682000,0.00000,20210426003000
118,CQISBG6BZX_3-5_SIP2,0.00000,0,0.00000,0,650673,722.96984,0,0.00000,888915.55556,800024000,0,2109358,2343.73058,0,0.00000,2084822.22222,1876340000,0.00000,20210426003000
119,CQISBG5BZX_3-11_SIP4,0.00000,0,0.00000,0,58,0.06451,0,0.00000,1032.22222,929000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
120,CQISBG5BZX_3-13_SIP4,0.00000,0,0.00000,0,1676793,1863.10388,0,0.00000,1760084.44444,1584076000,0,1921400,2134.88878,0,0.00000,2551151.11111,2296036000,0.00000,20210426003000
121,CQISBG6BZX_3-14_SIP3,0.00000,0,0.00000,0,58,0.06424,0,0.00000,1027.77778,925000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
